Lithuania; 20.86,53.6 27.25,56.73
Luxembourg; 5.9,49.42 6.77,50.21
Macedonia; 20.62,40.62 23.27,42.48
Madagascar; 42.83,-26.31 51.38,-11.58
Malawi; 32.55,-17.51 36.46,-9.26
Malaysia; 99.4,-0.2 120.19,7.86
Mali; -12.77,9.25 5.27,25.83
Mauritania; -17.47,14.21 -4.04,27.81
Mexico; -118.48,13.05 -85.18,34.17
Middle East; 25,10.7 59.7,36.1
Moldova; 26.64,45.31 30.47,48.64
Mongolia; 86.47,40 121.62,53.65
Montenegro; 18.56,41.77 20.67,43.64
Morocco; -13.52,26.96 -0.28,36.48
Mozambique; 29.67,-27.82 41.89,-9.63
Namibia; 11.32,-29.61 25.86,-16.31
Nepal; 79.9,26 88.84,30.88
Netherlands; 3.54,50.56 7.62,53.59
New Hampshire; -72.68,42.57 -70.58,45.43
New Jersey; -75.69,38.8 -73.78,41.47
New Mexico; -109.35,31.04 -102.7,37.3
New Zealand; 166.05,-47.31 179.41,-33.89
Nicaragua; -87.7,10.55 -82.87,15.24
Niger; -0.39,10.95 16.95,24.28
Nigeria; 2.33,3.72 15.34,14.4
North America; -168.5,18 -50.4,85.7
North Atlantic Ocean; -82,0 12,80
Northern Temperate; -180,23 180,60
Norway; 3.88,56.69 32.56,81.95
Oman; 51.53,16.19 60.52,26.73
Pakistan; 60.18,22.94 78.66,37.86
Panama; -83.06,6.9 -76.63,9.95
Papua New Guinea; 140.37,-11.3 153.05,-2.2
Paraguay; -62.83,-27.85 -53.6,-18.87
Peru; -82.13,-19.35 -67.52,0.79
Philippines; 116.68,4.85 127.23,19.22
Poland; 13.77,48.57 24.85,55.24
Portugal; -9.6,36.75 -5.65,42.36
Qatar; 50.97,24.33 51.89,26.17
Romania; 20.05,43.29 30.38,48.76
Russia; 25,23.21 180,71
Rwanda; 28.9,-3.01 31.2,-1.03
Saudi Arabia; 33.9,14.01 57.3,33.22
Senegal; -17.53,12.02 -10.89,17.14
Serbia; 18.8,41.66 23.35,46.39
Sierra Leone; -13.16,6.71 -10.02,10.09
Slovakia; 16.84,47.61 23.06,49.93
Slovenia; 13.39,45.28 16.87,47.06
Somalia; 40.53,-2.55 52.14,12.66
South Africa; 13.68,-35.9 33.98,-21.27
South America; -84.9,-57.6 -32.4,13.7
South Atlantic Ocean; -67,-55.4 23,0
Southern Ocean; -180,-77 180,-32
Southern Temperate; -180,-60 180,-23
Spain; -9.69,35.4 3.98,44.38
Sri Lanka; 79.69,5.76 82.26,9.89
Sudan; 21.06,2.6 39.77,22.86
Suriname; -58.01,1.53 -53.42,6.23
Swaziland; 30.93,-27.52 32.45,-25.72
Sweden; 10.56,54.63 24.84,69.68
Switzerland; 5.92,45.66 10.84,48.02
Syria; 35.36,31.84 43.11,37.69
Taiwan; 119.99,21.78 122.14,25.31
Tajikistan; 67.34,36.34 75.59,41.46
Tanzania United Republic of; 0,-0.54 28.96,41.23
Thailand; 96.83,4.8 106.42,21.22
Togo; -0.09,5.85 2.21,11.33
Trinidad; -61.88,10.01 -60.86,10.89
Tropics; -180,-23 180,23
Tunisia; 7.38,29.87 12.03,37.65
Turkey; 25.29,34.91 45.94,43
Turkmenistan; 52.05,34.56 67.66,43.46
Uganda; 29.45,-1.82 35.52,4.32
Ukraine; 21.4,43.61 41.24,53.31
United Arab Emirates; 51.06,21.82 56.87,26.25
United Kingdom; -8.41,49.49 2.39,59.07
United States; -180,13.71 -61.48,76.63
Uruguay; -58.46,-35.26 -52.77,-29.97
Uzbekistan; 55.44,36.08 74.31,46.46
Venezuela; -73.81,-0.11 -58.91,12.92
Vietnam; 101.43,7.75 110.25,24.05
Virginia; -84.1,36.12 -74.82,39.88
Western Sahara; -17.23,20.87 -8.01,28
Yemen; 42.45,12.12 53.74,19.51
Zaire; 11.45,-14.4 32.4,6.28
Zambia; 21.55,-18.7 34.45,-7.69
Zimbabwe; 25.11,-22.93 33.65,15.22
