WL(nm),pleiades1b blue,Pleiades1b green,Pleiades1b red,pleiades1b nir,Pleiades1b pan
795,0.00044166,0.00001886,0.00027573,0.95936626,0.87078405
797.5,0.00071029,0.00001804,0.00031583,0.98811370,0.85666836
800,0.00086476,0.00002869,0.00037502,1.00000000,0.83693470
802.5,0.00073705,0.00002869,0.00042963,0.99920584,0.81024089
805,0.00055154,0.00002050,0.00051861,0.98964189,0.77285199
807.5,0.00039457,0.00004345,0.00057475,0.96769586,0.71895467
810,0.00028112,0.00002951,0.00061943,0.95143601,0.65285018
812.5,0.00023403,0.00005288,0.00065036,0.93749397,0.57108109
815,0.00022475,0.00009346,0.00065151,0.92547153,0.47958534
817.5,0.00019229,0.00013363,0.00060415,0.91522347,0.38464915
820,0.00021976,0.00027711,0.00053694,0.90878284,0.29477309
822.5,0.00023403,0.00070505,0.00046438,0.90260768,0.21664491
825,0.00024544,0.00318508,0.00037655,0.89668325,0.15313193
827.5,0.00024544,0.01419053,0.00032155,0.89248328,0.10570546
830,0.00027827,0.00833941,0.00028413,0.88549127,0.07167998
832.5,0.00035068,0.00224435,0.00025396,0.87765519,0.04914329
835,0.00043167,0.00091822,0.00022684,0.86763857,0.03377573
837.5,0.00053263,0.00057184,0.00022264,0.85689586,0.02569861
840,0.00068853,0.00043697,0.00016727,0.84744082,0.01817626
842.5,0.00102779,0.00040295,0.00019782,0.83604804,0.01319689
845,0.00156257,0.00041812,0.00022073,0.82369772,0.01215620
847.5,0.00260857,0.00044517,0.00020890,0.81304350,0.00902014
850,0.00457497,0.00051732,0.00023295,0.80162689,0.00841562
852.5,0.00906189,0.00060217,0.00020546,0.79216165,0.00427999
855,0.01716255,0.00075753,0.00018713,0.78279510,0.00331301
857.5,0.02379276,0.00111089,0.00025052,0.77693534,0.00266881
860,0.02152347,0.00193810,0.00029329,0.77146471,0.00221151
862.5,0.01591385,0.00369053,0.00026351,0.76314533,0.00182923
865,0.01195613,0.00635704,0.00025892,0.75434037,0.00152908
867.5,0.00948243,0.01027145,0.00044911,0.74523703,0.00136343
870,0.00786920,0.01310760,0.00053618,0.73492090,0.00121477
872.5,0.00722420,0.01326050,0.00056673,0.72551237,0.00110151
875,0.00724203,0.01111539,0.00082107,0.71461424,0.00099390
877.5,0.00756775,0.00836647,0.00098566,0.70308871,0.00091887
880,0.00837935,0.00656446,0.00130760,0.69194779,0.00085232
882.5,0.00986379,0.00568478,0.00176128,0.68164754,0.00082259
885,0.01225866,0.00537979,0.00240287,0.67052023,0.00069658
887.5,0.01626739,0.00562287,0.00326823,0.65953587,0.00072207
890,0.02260157,0.00620045,0.00436350,0.64759625,0.00066827
892.5,0.03202713,0.00723917,0.00566154,0.62918536,0.00064703
895,0.04443041,0.00891986,0.00689010,0.61109327,0.00061446
897.5,0.05466908,0.01151015,0.00782230,0.59343230,0.00060314
900,0.05642436,0.01494159,0.00832983,0.57605949,0.00061163
902.5,0.04800412,0.01926862,0.00843638,0.55999365,0.00055783
905,0.03579919,0.02347858,0.00818548,0.54487512,0.00052952
907.5,0.02583365,0.02644025,0.00813812,0.53061428,0.00052952
910,0.01888708,0.02704899,0.00800064,0.51548327,0.00052102
912.5,0.01443869,0.02554540,0.00776769,0.49767595,0.00050545
915,0.01167930,0.02339742,0.00778449,0.47340984,0.00044740
917.5,0.00991124,0.02139455,0.00799835,0.43876973,0.00044740
920,0.00864692,0.01994425,0.00815187,0.39342209,0.00040776
922.5,0.00780998,0.01925313,0.00850588,0.33676902,0.00045589
925,0.00722705,0.01907440,0.00879269,0.27427320,0.00040776
927.5,0.00699588,0.01968928,0.00931206,0.21143363,0.00043466
930,0.00692310,0.02069358,0.00975276,0.15355415,0.00037661
932.5,0.00691418,0.02201066,0.01013580,0.10634080,0.00038510
935,0.00702085,0.02323017,0.01038747,0.07044195,0.00038793
937.5,0.00725274,0.02375733,0.01040618,0.04591206,0.00037236
940,0.00737260,0.02298586,0.01017132,0.02953479,0.00033413
942.5,0.00750496,0.02065956,0.00952248,0.01927539,0.00037236
945,0.00747035,0.01722484,0.00860861,0.01268046,0.00033130
947.5,0.00706723,0.01329215,0.00733731,0.00846238,0.00033413
950,0.00636800,0.00978151,0.00598425,0.00576900,0.00031431
