WL [nm],PAN,BLUE,GREEN,RED,NIR
515,797,48.33,844.1,0.001019,6.742E-05
516,801.3,32.88,843.9,0.0002984,9.494E-05
517,805.6,20.12,844,7.033E-05,6.226E-05
518,810,14.64,846.7,3.697E-05,3.379E-05
519,813.5,10.69,849.2,4.792E-05,6.146E-05
520,815.8,7.96,850,0.0002443,3.089E-05
521,818,5.932,850.8,0.0006264,3.316E-05
522,820.2,4.522,851.9,0.0007716,4.541E-05
523,822.5,3.42,854,0.0003948,1.8E-05
524,825.5,2.695,861.6,0.0001245,4.621E-05
525,830,2.115,870.1,5.879E-05,6.455E-05
526,834.5,1.657,883.2,7.452E-05,5.291E-05
527,838.9,1.306,895.8,0.0001233,0.0001277
528,843.4,1.03,905,0.0002314,0.0001421
529,846.9,0.8183,912.6,0.0004709,0.0001028
530,848.7,0.6575,911.8,0.0008374,2.259E-05
531,850.5,0.5301,910.1,0.0008244,5.754E-05
532,852.3,0.4251,904.6,0.0005364,0.000121
533,854.1,0.3307,899.9,0.0002513,2.77E-05
534,854.7,0.2723,899.1,0.0001484,0.0001128
535,853.5,0.2284,899.4,0.000169,1.26E-07
536,852.2,0.1873,904.9,0.0002405,6.084E-06
537,851,0.154,910.2,0.0005062,5.419E-05
538,849.8,0.1258,914.7,0.0008476,0.0001589
539,848.8,0.1038,917.7,0.0008892,0.0002586
540,848.3,0.08633,914.1,0.000527,0.000458
541,847.7,0.07216,909.6,0.0002345,0.0004386
542,847.2,0.06198,901.5,0.0001524,0.0001288
543,846.6,0.05331,894.2,0.0001412,7.469E-05
544,846.2,0.04668,890.6,0.0001906,4.213E-05
545,846,0.04121,888.5,0.0004092,2.015E-05
546,845.8,0.03735,892.2,0.0007653,3.424E-05
547,845.7,0.03427,896.5,0.001052,2.781E-05
548,845.5,0.03172,902.9,0.001025,5.227E-05
549,846.5,0.02984,909,0.0006975,0.0001344
550,849.2,0.02822,913.9,0.0004687,0.0002446
551,851.8,0.02705,918.6,0.0004878,0.0003937
552,854.4,0.02613,922.6,0.000674,0.0004809
553,857,0.02528,927,0.001104,0.0005272
554,861.3,0.02458,932.9,0.002053,0.0003538
555,867.5,0.02403,939.1,0.003055,0.0002759
556,873.7,0.02307,946.3,0.003058,0.0002741
557,879.9,0.0221,953.1,0.00174,0.0002875
558,886.1,0.02109,958.7,0.0009353,0.0002664
559,891.1,0.02006,963.9,0.0008621,0.0002251
560,894.7,0.01906,967.8,0.001046,0.0001684
561,898.3,0.01806,971.8,0.001454,9.696E-05
562,902,0.01703,975.8,0.002096,5.885E-05
563,905.6,0.01596,980.3,0.002589,3.355E-05
564,908,0.01463,986,0.002725,9.43E-05
565,909.1,0.01354,991.5,0.002011,0.0001279
566,910.1,0.01221,996.1,0.001266,0.0002167
567,911.2,0.0111,999.7,0.001109,0.0002221
568,912.3,0.009968,1000,0.001428,0.0002429
569,912.7,0.009031,999.7,0.001587,0.0004491
570,912.6,0.008251,997.7,0.001092,0.0006577
571,912.4,0.007551,996.3,0.0005279,0.0006147
572,912.2,0.006825,996.5,0.0002588,0.0006668
573,912,0.006219,994.9,0.0001459,0.0005553
574,911.9,0.00562,988.5,8.739E-05,0.0004554
575,911.8,0.005115,969.6,6.557E-05,0.0004351
576,911.8,0.004702,916.8,3.062E-05,0.0003832
577,911.7,0.004304,843.5,2.829E-05,0.0003603
578,911.6,0.004105,715.9,1.682E-05,0.0003286
579,911.8,0.00391,584.9,2.344E-05,0.0004602
580,912.1,0.003729,445.3,3.409E-05,0.0004486
581,912.4,0.003628,318.8,2.079E-05,0.0003847
582,912.7,0.003468,225.7,3.387E-05,0.0004537
583,913,0.003338,146.2,4.472E-05,0.0004094
584,914.9,0.003229,100.2,2.231E-05,0.0004136
585,918.1,0.003082,62.12,2.619E-05,0.0005789
586,921.4,0.002985,41.16,2.997E-05,0.0006199
587,924.6,0.002927,26.28,1.091E-05,0.0007042
588,927.8,0.002962,15.9,1.392E-05,0.0008292
589,930.7,0.003111,10.83,2.12E-05,0.0008428
590,933.2,0.003245,6.266,3.99E-05,0.0009509
591,935.8,0.003406,4.583,3.959E-05,0.001246
592,938.4,0.00366,3.431,2.668E-05,0.001798
593,940.9,0.003983,2.597,3.221E-05,0.001706
594,941.6,0.004283,2.004,4.45E-05,0.001152
595,941,0.004557,1.569,3.661E-05,0.0005925
596,940.4,0.004791,1.246,5.448E-05,0.0002528
597,939.8,0.004619,0.9713,5.531E-05,8.496E-05
598,939.1,0.004417,0.7564,1.53E-05,0.0001311
599,940.6,0.004249,0.5885,2.168E-05,0.0001256
600,943.6,0.003732,0.4572,3.663E-05,0.0001131
601,946.5,0.003127,0.3567,7.102E-05,0.0001981
602,949.4,0.002601,0.2783,6.087E-05,0.0002274
603,952.4,0.002137,0.2174,4.42E-05,0.0001787
604,955.5,0.001725,0.1708,5.569E-05,0.0001738
605,958.8,0.001363,0.1353,4.285E-05,0.0001559
606,962,0.001052,0.1079,2.902E-05,0.0001029
607,965.2,0.0008512,0.08731,4.491E-05,6.781E-05
608,968.5,0.0006743,0.07138,6.409E-05,4.041E-05
609,968.8,0.0005342,0.05908,7.138E-05,4.705E-06
610,967.2,0.0004439,0.04988,8.287E-05,1.35E-07
611,965.7,0.0003825,0.0422,8.998E-05,1.615E-05
612,964.2,0.0003529,0.0364,8.211E-05,2.88E-05
613,962.7,0.0003371,0.03192,8.815E-05,6.249E-05
614,960.5,0.0003214,0.02822,9.407E-05,0.0001339
615,958,0.0003055,0.02551,0.000125,7.428E-05
616,955.5,0.0002954,0.02324,0.000129,9.257E-05
617,953,0.000279,0.02127,0.0001384,7.493E-05
618,950.5,0.0002631,0.01983,0.0001726,3.836E-05
619,951.5,0.0002311,0.01837,0.0001659,3.6E-05
620,954.2,0.0002102,0.01715,0.0001772,2.618E-05
621,957,0.0002007,0.01597,0.0002048,3.909E-05
622,959.8,0.0001825,0.01473,0.0002226,2.227E-05
623,962.6,0.000178,0.01376,0.0002102,3.495E-05
624,967.1,0.0001717,0.01257,0.0002549,8.576E-05
625,972.6,0.0001565,0.01131,0.0003233,0.0001176
626,978,0.0001523,0.01018,0.000388,0.0001088
627,983.5,0.0001506,0.009007,0.0004417,0.0001236
628,988.9,0.0001471,0.007912,0.0005139,9.684E-05
629,990.6,0.0001606,0.006999,0.0006413,0.0001467
630,990.5,0.000162,0.006105,0.0008025,0.0002549
631,990.4,0.0001544,0.005347,0.0009951,0.0002888
632,990.4,0.0001492,0.004665,0.001318,0.0003587
633,990.3,0.0001393,0.004149,0.001755,0.0005075
634,988.5,0.0001239,0.003704,0.002348,0.0005214
635,986,0.0001104,0.003268,0.003224,0.0004436
636,983.6,0.0001025,0.002929,0.004577,0.0004269
637,981.1,9.745E-05,0.002661,0.006624,0.000442
638,978.6,9.475E-05,0.002393,0.009688,0.0003747
639,979.5,9.326E-05,0.002188,0.01462,0.000368
640,981.8,8.483E-05,0.002026,0.02271,0.0002915
641,984.1,7.842E-05,0.001914,0.03589,0.0002236
642,986.4,8.676E-05,0.001837,0.058,0.0002604
643,988.7,0.0001051,0.001749,0.09683,0.0002878
644,990.9,0.0001075,0.001692,0.1665,0.0002559
645,993.2,0.0001096,0.00163,0.2953,0.0002869
646,995.5,0.0001371,0.001572,0.5443,0.0003073
647,997.7,0.0001474,0.001554,1.049,0.0002993
648,1000,0.0001437,0.001573,2.112,0.0003735
649,998.6,0.0001637,0.001546,4.508,0.0004337
650,996,0.0001873,0.001516,14.39,0.0003522
651,993.3,0.0002066,0.00156,42.22,0.0002779
652,990.7,0.0002357,0.001527,87.59,0.0002957
653,988,0.0002726,0.001456,194.6,0.000255
654,985.4,0.0003225,0.001433,375.8,0.0001782
655,982.8,0.0004029,0.001397,563,0.0002179
656,980.2,0.0005162,0.001336,757.3,0.000229
657,977.6,0.0006483,0.00127,878.6,0.0001248
658,975,0.0008405,0.001187,916.2,0.0001286
659,975.7,0.001084,0.001109,934.5,0.0001427
660,977.5,0.001355,0.001034,931.3,0.0001238
661,979.2,0.001674,0.0009302,928.9,0.0001472
662,980.9,0.002034,0.0008244,927.6,0.0001697
663,982.7,0.002409,0.0007764,927.6,0.0001956
664,984.6,0.002845,0.0007222,929,0.0002079
665,986.7,0.003355,0.0006195,934.5,0.0002203
666,988.7,0.003962,0.0005479,944.2,0.0002205
667,990.7,0.004701,0.0005036,957.5,0.0002201
668,992.8,0.005601,0.0004557,974.5,0.0002718
669,992.2,0.006708,0.0004524,987.4,0.000257
670,990.9,0.007972,0.0004645,996.2,0.0001704
671,989.6,0.009288,0.0004834,999.8,0.0001625
672,988.3,0.0106,0.0004882,998.2,0.0001522
673,987,0.01183,0.0004343,997.6,0.0001707
674,983.7,0.01287,0.0004038,998,0.0002872
675,979.9,0.01368,0.0004098,998.8,0.0002379
676,976.1,0.01437,0.0004101,1000,0.0001502
677,972.3,0.01491,0.000427,998.4,0.0002291
678,968.5,0.01513,0.0004309,994.3,0.0001762
679,960.5,0.01534,0.0004391,989.3,0.0001262
680,951.5,0.01563,0.000451,983.4,0.0002351
681,942.6,0.01601,0.0004965,975.9,0.00027
682,933.6,0.01679,0.000491,966.9,0.0002557
683,924.7,0.01806,0.0004843,954.6,0.0002785
684,926.1,0.01985,0.0005538,939.2,0.0003211
685,929.5,0.0221,0.0005767,934,0.0002443
686,933,0.02474,0.0005628,937.6,0.0002106
687,936.4,0.02774,0.0005625,919.2,0.0002595
688,939.9,0.03038,0.0005725,881.9,0.000193
689,942.6,0.03194,0.0006168,728.9,0.0001873
690,945.1,0.03209,0.0006575,478.4,0.0002075
691,947.7,0.03089,0.0006931,285,9.612E-05
692,950.3,0.02854,0.0007014,138.6,0.0001652
693,952.8,0.02592,0.0007447,57.72,0.000171
694,952,0.0235,0.0008178,28.31,0.0001146
695,950.6,0.02166,0.0008561,12.34,0.0001581
696,949.2,0.02057,0.0009215,5.959,0.0002201
697,947.8,0.02009,0.0009215,3.153,0.0003574
698,946.4,0.02032,0.0009652,1.775,0.0004576
699,948,0.02135,0.001054,1.026,0.0005188
700,950,0.02309,0.001046,0.618,0.0006665
701,951.9,0.02599,0.001096,0.382,0.0007277
702,953.9,0.03031,0.001148,0.244,0.0007806
703,955.8,0.03633,0.001163,0.1607,0.0008869
704,957.6,0.04499,0.00118,0.1082,0.0008032
705,959.3,0.05776,0.001115,0.07441,0.0007777
706,961,0.07685,0.001098,0.0521,0.0008426
707,962.7,0.107,0.001005,0.03719,0.0007668
708,964.4,0.155,0.0008834,0.02711,0.0007073
709,963.7,0.2319,0.0006839,0.02006,0.0007875
710,962.8,0.3364,0.0004978,0.01502,0.0008463
711,961.9,0.4209,0.0003492,0.01149,0.0008519
712,961,0.4193,0.0002284,0.008914,0.0009938
713,960.1,0.3244,0.0002008,0.006982,0.001103
714,956,0.2059,0.0001443,0.005522,0.001234
715,951.6,0.12,9.456E-05,0.004428,0.001408
716,947.2,0.07135,6.549E-05,0.00357,0.001671
717,942.8,0.04524,7.304E-05,0.002905,0.002133
718,938.4,0.03069,8.104E-05,0.002461,0.002322
719,936,0.02231,8.352E-05,0.002165,0.002832
720,933.8,0.01693,8.268E-05,0.001844,0.003457
721,931.5,0.01338,6.627E-05,0.001527,0.00414
722,929.3,0.01108,3.291E-05,0.001286,0.00503
723,927,0.009603,3.721E-05,0.001081,0.005823
724,925.4,0.008489,4.163E-05,0.0009257,0.00632
725,923.7,0.007657,3.99E-05,0.0008721,0.006802
726,922.1,0.007123,9.461E-05,0.0007727,0.007152
727,920.5,0.006727,0.0001425,0.0007316,0.007527
728,918.9,0.006601,8.148E-05,0.0007068,0.007964
729,918.2,0.006589,3.911E-05,0.0006091,0.008377
730,917.5,0.00676,7.193E-05,0.0005522,0.008939
731,916.8,0.007111,5.097E-05,0.0004926,0.009897
732,916.1,0.007554,3.01E-05,0.0004704,0.01069
733,915.4,0.008086,1.098E-05,0.0004532,0.01177
734,913.6,0.008723,1.082E-05,0.0003847,0.01349
735,911.8,0.009225,3.776E-05,0.0003967,0.01549
736,910.1,0.00998,4.141E-05,0.0003459,0.0182
737,908.3,0.01095,6.255E-05,0.0003145,0.02165
738,906.5,0.01186,5.208E-05,0.000337,0.02656
739,902.8,0.01284,4.108E-05,0.0003444,0.03213
740,899.2,0.01418,3.582E-05,0.000299,0.03865
741,895.6,0.01553,3.601E-05,0.0003156,0.04751
742,891.9,0.01701,2.543E-05,0.0003185,0.05848
743,888.3,0.01893,6.421E-06,0.0003032,0.07047
744,885.1,0.02127,3.36E-05,0.000307,0.08313
745,882,0.02458,3.647E-05,0.0002695,0.09892
746,878.8,0.02888,0.0001638,0.0003206,0.1148
747,875.6,0.0347,0.000111,0.0002954,0.1332
748,872.5,0.04337,8.864E-05,0.000257,0.1534
749,872,0.05484,0.0001647,0.0003521,0.1776
750,871.5,0.0713,0.0002429,0.0002619,0.2049
751,871,0.0954,0.0005116,0.0002611,0.2397
752,870.5,0.1292,0.0007255,0.000297,0.2837
753,870,0.1752,0.000771,0.0002687,0.3385
754,868.9,0.229,0.001096,0.0002743,0.4107
755,867.7,0.2836,0.0009725,0.0002814,0.5073
756,866.6,0.325,0.0008581,0.0002955,0.6273
757,865.5,0.3472,0.0006117,0.0003053,0.7881
758,864.3,0.3457,0.0005233,0.0003499,1.007
759,862.7,0.3275,0.0006706,0.0003297,1.286
760,861.1,0.2985,0.0005799,0.0002588,1.66
761,859.4,0.2664,0.0005553,0.0002781,2.154
762,857.8,0.2319,0.0006072,0.0003785,2.811
763,856.2,0.1986,0.0003645,0.0003242,3.666
764,854.8,0.1681,0.0005203,0.0003111,4.773
765,853.4,0.1397,0.0004957,0.0003706,6.256
766,852.1,0.1145,0.0004896,0.0002949,8.231
767,850.7,0.09366,0.0005599,0.0003171,10.84
768,849.3,0.07618,0.0003452,0.0002684,14.41
769,848.4,0.06153,0.000387,0.0003497,19.35
770,847.5,0.04912,0.0004673,0.0004288,30.01
771,846.6,0.03869,0.0004196,0.0004774,46.02
772,845.7,0.03068,0.0004178,0.0005176,60.18
773,844.7,0.02394,0.0004228,0.0004514,85.7
774,844,0.01889,0.0005726,0.0005781,115.2
775,843.2,0.0148,0.0009153,0.000528,169
776,842.4,0.01196,0.001066,0.0005116,230.9
777,841.6,0.009615,0.00161,0.0003847,330.1
778,840.7,0.007775,0.002093,0.0004144,441.4
779,839.2,0.006134,0.002926,0.0004309,573.2
780,837.6,0.005171,0.002748,0.000385,711.4
781,836.1,0.004379,0.001943,0.0004334,820.6
782,834.6,0.003737,0.001385,0.000564,920.7
783,832.8,0.003272,0.0006302,0.000617,968.3
784,829.3,0.002686,0.00051,0.0009029,1000
785,825.7,0.002482,0.0006082,0.0008791,998.7
786,822.1,0.002221,0.0004652,0.001104,987.8
787,818.6,0.002332,0.0002737,0.001282,967.4
788,814.3,0.002172,0.0002775,0.001202,944.3
789,805.8,0.002039,0.0004258,0.0009826,923
790,797.3,0.002089,0.0002594,0.0009175,902.2
791,788.9,0.002072,0.0002643,0.0007809,885.2
792,780.4,0.002201,0.0003328,0.0007632,869.1
793,759.9,0.002222,0.0003618,0.000799,856.6
794,674.8,0.00248,0.0003618,0.001027,845
795,589.6,0.002541,0.0003771,0.001166,834.8
796,504.5,0.00284,0.0002281,0.001228,824.9
797,419.3,0.00326,0.0002991,0.001593,814.1
798,339.2,0.004009,0.0004391,0.001785,803.1
799,283.5,0.004986,0.0003215,0.002685,805.1
800,227.9,0.006418,0.0002622,0.003861,810.3
801,172.3,0.008413,0.000113,0.005295,814.5
802,116.6,0.01184,6.954E-05,0.008641,818.6
803,69.66,0.018,0.0002804,0.0134,822.2
804,60.86,0.02764,0.0004605,0.02477,825.7
805,47.04,0.04434,0.0003562,0.03387,829.6
806,34.39,0.08816,0.001117,0.04392,833.4
807,15.13,0.2123,0.002108,0.04554,837.5
808,8.53,0.3778,0.002061,0.04311,841.6
809,4.607,0.4081,0.001575,0.04271,845.8
810,3.449,0.2662,0.001467,0.03855,850.1
811,2.627,0.1287,0.000657,0.03414,854.1
812,2.022,0.05525,0.0007444,0.03407,858.2
813,1.562,0.02675,0.0002874,0.0323,862.6
814,1.218,0.01488,0.0002276,0.03575,867
815,0.9647,0.009179,0.0002906,0.04251,871.8
816,0.766,0.00625,0.0003197,0.04988,876.6
817,0.6124,0.004584,0.0001291,0.06865,882.2
818,0.4935,0.003619,0.0003615,0.07941,887.9
819,0.3989,0.002672,0.0001819,0.07437,886.5
820,0.3255,0.002091,0.0001433,0.05062,883.9
821,0.2654,0.001751,1.965E-05,0.02725,881.8
822,0.2197,0.001513,0.0001623,0.01545,879.9
823,0.1813,0.001362,0.0001487,0.008178,878.1
824,0.1528,0.001027,8.687E-05,0.005711,876.3
825,0.128,0.0009656,0.0002512,0.004494,874.4
826,0.1074,0.001067,0.0005019,0.003124,872.4
827,0.09051,0.0007752,0.0004514,0.002719,870
828,0.0767,0.001014,0.0003087,0.001877,867.4
829,0.06493,0.0007846,0.0001689,0.002048,864.6
830,0.05547,0.0006771,0.0001588,0.001874,861.7
831,0.04806,0.001043,0.0004495,0.0015,858.9
832,0.0409,0.00077,0.0003555,0.00154,856.1
833,0.03543,0.001077,0.0003688,0.00175,853.4
834,0.03103,0.001024,0.0005664,0.002645,850.7
835,0.02731,0.001246,0.001296,0.003462,848.5
836,0.02324,0.001323,0.004244,0.00476,846.3
837,0.02089,0.001427,0.007241,0.006142,845.1
838,0.01833,0.00169,0.005497,0.006792,844
839,0.01553,0.001746,0.002681,0.005792,841.8
840,0.0141,0.00218,0.001035,0.004118,839.5
841,0.01286,0.002592,0.0002525,0.003641,836.4
842,0.01097,0.00268,0.0001977,0.002352,833.2
843,0.009728,0.002969,8.567E-05,0.002284,828.8
844,0.008805,0.002974,0.000171,0.00235,824.3
845,0.007881,0.003236,0.0003305,0.001825,818.1
846,0.006667,0.0036,0.0002107,0.002062,811.8
847,0.006438,0.003064,0.0001483,0.002279,804.6
848,0.005352,0.002751,0.01139,0.003478,797.4
