SR_WL,SR_AV_B1,SR_AV_B2,SR_AV_B3,SR_AV_B4,SR_AV_B5,SR_AV_B6,SR_AV_B7,SR_AV_B8,SR_AV_B8A,SR_AV_B9,SR_AV_B10,SR_AV_B11,SR_AV_B12
347,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0.006797798,0,0,0,0,0,0,0,0,0,0,0,0
412,0.01099643,0,0,0,0,0,0,0,0,0,0,0,0
413,0.004208363,0,0,0,0,0,0,0,0,0,0,0,0
414,0.006568034,0,0,0,0,0,0,0,0,0,0,0,0
415,0.005883123,0,0,0,0,0,0,0,0,0,0,0,0
416,0.00713011,0,0,0,0,0,0,0,0,0,0,0,0
417,0.004333651,0,0,0,0,0,0,0,0,0,0,0,0
418,0.006263537,0,0,0,0,0,0,0,0,0,0,0,0
419,0.004393687,0,0,0,0,0,0,0,0,0,0,0,0
420,0.00253157,0,0,0,0,0,0,0,0,0,0,0,0
421,0.000621707,0,0,0,0,0,0,0,0,0,0,0,0
422,0.002117729,0,0,0,0,0,0,0,0,0,0,0,0
423,0.003175796,0,0,0,0,0,0,0,0,0,0,0,0
424,0.005213085,0,0,0,0,0,0,0,0,0,0,0,0
425,0.003387375,0,0,0,0,0,0,0,0,0,0,0,0
426,0.00258671,0,0,0,0,0,0,0,0,0,0,0,0
427,0.002384167,0,0,0,0,0,0,0,0,0,0,0,0
428,0.004595227,0,0,0,0,0,0,0,0,0,0,0,0
429,0.012990945,0,0,0,0,0,0,0,0,0,0,0,0
430,0.050622293,0,0,0,0,0,0,0,0,0,0,0,0
431,0.18872241,0,0,0,0,0,0,0,0,0,0,0,0
432,0.459106539,0,0,0,0,0,0,0,0,0,0,0,0
433,0.730160597,0,0,0,0,0,0,0,0,0,0,0,0
434,0.847259495,0,0,0,0,0,0,0,0,0,0,0,0
435,0.871235903,0,0,0,0,0,0,0,0,0,0,0,0
436,0.881448354,0,0,0,0,0,0,0,0,0,0,0,0
437,0.899392736,0,0,0,0,0,0,0,0,0,0,0,0
438,0.918669431,0.001893306,0,0,0,0,0,0,0,0,0,0,0
439,0.933420754,0.019440751,0,0,0,0,0,0,0,0,0,0,0
440,0.94596319,0.020059028,0,0,0,0,0,0,0,0,0,0,0
441,0.95041031,0.014109631,0,0,0,0,0,0,0,0,0,0,0
442,0.953972339,0.015612858,0,0,0,0,0,0,0,0,0,0,0
443,0.96903168,0.015448868,0,0,0,0,0,0,0,0,0,0,0
444,0.999546173,0.017034152,0,0,0,0,0,0,0,0,0,0,0
445,1,0.013311359,0,0,0,0,0,0,0,0,0,0,0
446,0.976368067,0.014462036,0,0,0,0,0,0,0,0,0,0,0
447,0.96404957,0.009592091,0,0,0,0,0,0,0,0,0,0,0
448,0.95417544,0.014500694,0,0,0,0,0,0,0,0,0,0,0
449,0.923744832,0.011159264,0,0,0,0,0,0,0,0,0,0,0
450,0.88548879,0.013332524,0,0,0,0,0,0,0,0,0,0,0
451,0.809016274,0.01355731,0,0,0,0,0,0,0,0,0,0,0
452,0.601561144,0.01426,0,0,0,0,0,0,0,0,0,0,0
453,0.306766029,0.014717634,0,0,0,0,0,0,0,0,0,0,0
454,0.108527711,0.015989541,0,0,0,0,0,0,0,0,0,0,0
455,0.030542088,0.030654247,0,0,0,0,0,0,0,0,0,0,0
456,0.008935131,0.055432753,0,0,0,0,0,0,0,0,0,0,0
457,0,0.120228972,0,0,0,0,0,0,0,0,0,0,0
458,0,0.252260953,0,0,0,0,0,0,0,0,0,0,0
459,0,0.462862499,0,0,0,0,0,0,0,0,0,0,0
460,0,0.65241169,0,0,0,0,0,0,0,0,0,0,0
461,0,0.77750832,0,0,0,0,0,0,0,0,0,0,0
462,0,0.824333103,0,0,0,0,0,0,0,0,0,0,0
463,0,0.832077099,0,0,0,0,0,0,0,0,0,0,0
464,0,0.835037767,0,0,0,0,0,0,0,0,0,0,0
465,0,0.838761115,0,0,0,0,0,0,0,0,0,0,0
466,0,0.864126031,0,0,0,0,0,0,0,0,0,0,0
467,0,0.883293587,0,0,0,0,0,0,0,0,0,0,0
468,0,0.90569382,0,0,0,0,0,0,0,0,0,0,0
469,0,0.921186621,0,0,0,0,0,0,0,0,0,0,0
470,0,0.936616967,0,0,0,0,0,0,0,0,0,0,0
471,0,0.931024626,0,0,0,0,0,0,0,0,0,0,0
472,0,0.927547539,0,0,0,0,0,0,0,0,0,0,0
473,0,0.916622744,0,0,0,0,0,0,0,0,0,0,0
474,0,0.9060165,0,0,0,0,0,0,0,0,0,0,0
475,0,0.897870416,0,0,0,0,0,0,0,0,0,0,0
476,0,0.903146598,0,0,0,0,0,0,0,0,0,0,0
477,0,0.908994286,0,0,0,0,0,0,0,0,0,0,0
478,0,0.920859439,0,0,0,0,0,0,0,0,0,0,0
479,0,0.924523699,0,0,0,0,0,0,0,0,0,0,0
480,0,0.918843658,0,0,0,0,0,0,0,0,0,0,0
481,0,0.907981319,0,0,0,0,0,0,0,0,0,0,0
482,0,0.898032665,0,0,0,0,0,0,0,0,0,0,0
483,0,0.88735796,0,0,0,0,0,0,0,0,0,0,0
484,0,0.873065866,0,0,0,0,0,0,0,0,0,0,0
485,0,0.857761622,0,0,0,0,0,0,0,0,0,0,0
486,0,0.846132814,0,0,0,0,0,0,0,0,0,0,0
487,0,0.843382711,0,0,0,0,0,0,0,0,0,0,0
488,0,0.857924772,0,0,0,0,0,0,0,0,0,0,0
489,0,0.879320632,0,0,0,0,0,0,0,0,0,0,0
490,0,0.903975503,0,0,0,0,0,0,0,0,0,0,0
491,0,0.919580552,0,0,0,0,0,0,0,0,0,0,0
492,0,0.946712663,0,0,0,0,0,0,0,0,0,0,0
493,0,0.969406608,0,0,0,0,0,0,0,0,0,0,0
494,0,0.993636046,0,0,0,0,0,0,0,0,0,0,0
495,0,0.999320649,0,0,0,0,0,0,0,0,0,0,0
496,0,1,0,0,0,0,0,0,0,0,0,0,0
497,0,0.995107621,0,0,0,0,0,0,0,0,0,0,0
498,0,0.984163047,0,0,0,0,0,0,0,0,0,0,0
499,0,0.979509527,0,0,0,0,0,0,0,0,0,0,0
500,0,0.978185449,0,0,0,0,0,0,0,0,0,0,0
501,0,0.972278886,0,0,0,0,0,0,0,0,0,0,0
502,0,0.96293492,0,0,0,0,0,0,0,0,0,0,0
503,0,0.95355824,0,0,0,0,0,0,0,0,0,0,0
504,0,0.938134944,0,0,0,0,0,0,0,0,0,0,0
505,0,0.924777929,0,0,0,0,0,0,0,0,0,0,0
506,0,0.909590075,0,0,0,0,0,0,0,0,0,0,0
507,0,0.902313691,0,0,0,0,0,0,0,0,0,0,0
508,0,0.892251397,0,0,0,0,0,0,0,0,0,0,0
509,0,0.890060534,0,0,0,0,0,0,0,0,0,0,0
510,0,0.891851681,0,0,0,0,0,0,0,0,0,0,0
511,0,0.899164865,0,0,0,0,0,0,0,0,0,0,0
512,0,0.910901434,0,0,0,0,0,0,0,0,0,0,0
513,0,0.924636296,0,0,0,0,0,0,0,0,0,0,0
514,0,0.938626228,0,0,0,0,0,0,0,0,0,0,0
515,0,0.953526854,0,0,0,0,0,0,0,0,0,0,0
516,0,0.971831245,0,0,0,0,0,0,0,0,0,0,0
517,0,0.987690608,0,0,0,0,0,0,0,0,0,0,0
518,0,0.996791216,0,0,0,0,0,0,0,0,0,0,0
519,0,0.993851876,0,0,0,0,0,0,0,0,0,0,0
520,0,0.9816383,0,0,0,0,0,0,0,0,0,0,0
521,0,0.958970396,0,0,0,0,0,0,0,0,0,0,0
522,0,0.893259218,0,0,0,0,0,0,0,0,0,0,0
523,0,0.736063596,0,0,0,0,0,0,0,0,0,0,0
524,0,0.52101528,0,0,0,0,0,0,0,0,0,0,0
525,0,0.332578748,0,0,0,0,0,0,0,0,0,0,0
526,0,0.195080476,0,0,0,0,0,0,0,0,0,0,0
527,0,0.117429222,0,0,0,0,0,0,0,0,0,0,0
528,0,0.075138809,0,0,0,0,0,0,0,0,0,0,0
529,0,0.050991983,0,0,0,0,0,0,0,0,0,0,0
530,0,0.032154822,0,0,0,0,0,0,0,0,0,0,0
531,0,0.015134166,0,0,0,0,0,0,0,0,0,0,0
532,0,0.004477169,0,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,0,0,0,0
536,0,0,0.001849077,0,0,0,0,0,0,0,0,0,0
537,0,0,0.015481298,0,0,0,0,0,0,0,0,0,0
538,0,0,0.036661939,0,0,0,0,0,0,0,0,0,0
539,0,0,0.081181302,0,0,0,0,0,0,0,0,0,0
540,0,0,0.169521526,0,0,0,0,0,0,0,0,0,0
541,0,0,0.333499478,0,0,0,0,0,0,0,0,0,0
542,0,0,0.587551283,0,0,0,0,0,0,0,0,0,0
543,0,0,0.810898276,0,0,0,0,0,0,0,0,0,0
544,0,0,0.914486774,0,0,0,0,0,0,0,0,0,0
545,0,0,0.945520385,0,0,0,0,0,0,0,0,0,0
546,0,0,0.949175317,0,0,0,0,0,0,0,0,0,0
547,0,0,0.943501504,0,0,0,0,0,0,0,0,0,0
548,0,0,0.928333429,0,0,0,0,0,0,0,0,0,0
549,0,0,0.912819616,0,0,0,0,0,0,0,0,0,0
550,0,0,0.901482543,0,0,0,0,0,0,0,0,0,0
551,0,0,0.900858652,0,0,0,0,0,0,0,0,0,0
552,0,0,0.907289434,0,0,0,0,0,0,0,0,0,0
553,0,0,0.922649114,0,0,0,0,0,0,0,0,0,0
554,0,0,0.942932043,0,0,0,0,0,0,0,0,0,0
555,0,0,0.964024785,0,0,0,0,0,0,0,0,0,0
556,0,0,0.983470408,0,0,0,0,0,0,0,0,0,0
557,0,0,0.999446482,0,0,0,0,0,0,0,0,0,0
558,0,0,1,0,0,0,0,0,0,0,0,0,0
559,0,0,0.991955712,0,0,0,0,0,0,0,0,0,0
560,0,0,0.976582923,0,0,0,0,0,0,0,0,0,0
561,0,0,0.951151834,0,0,0,0,0,0,0,0,0,0
562,0,0,0.924621468,0,0,0,0,0,0,0,0,0,0
563,0,0,0.891851701,0,0,0,0,0,0,0,0,0,0
564,0,0,0.868157818,0,0,0,0,0,0,0,0,0,0
565,0,0,0.847608394,0,0,0,0,0,0,0,0,0,0
566,0,0,0.83920859,0,0,0,0,0,0,0,0,0,0
567,0,0,0.832980675,0,0,0,0,0,0,0,0,0,0
568,0,0,0.830820549,0,0,0,0,0,0,0,0,0,0
569,0,0,0.835211024,0,0,0,0,0,0,0,0,0,0
570,0,0,0.84875691,0,0,0,0,0,0,0,0,0,0
571,0,0,0.866563551,0,0,0,0,0,0,0,0,0,0
572,0,0,0.875196149,0,0,0,0,0,0,0,0,0,0
573,0,0,0.87037822,0,0,0,0,0,0,0,0,0,0
574,0,0,0.857256926,0,0,0,0,0,0,0,0,0,0
575,0,0,0.809749622,0,0,0,0,0,0,0,0,0,0
576,0,0,0.677463956,0,0,0,0,0,0,0,0,0,0
577,0,0,0.456507841,0,0,0,0,0,0,0,0,0,0
578,0,0,0.247691784,0,0,0,0,0,0,0,0,0,0
579,0,0,0.127866254,0,0,0,0,0,0,0,0,0,0
580,0,0,0.059016809,0,0,0,0,0,0,0,0,0,0
581,0,0,0.025724357,0,0,0,0,0,0,0,0,0,0
582,0,0,0.005219158,0,0,0,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0,0,0,0,0,0
595,0,0,0,0,0,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0
601,0,0,0,0,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0,0,0,0,0
606,0,0,0,0,0,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,0,0,0,0
613,0,0,0,0,0,0,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0,0,0,0,0
618,0,0,0,0,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,0,0,0,0,0
632,0,0,0,0,0,0,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0,0,0,0,0,0,0
641,0,0,0,0,0,0,0,0,0,0,0,0,0
642,0,0,0,0,0,0,0,0,0,0,0,0,0
643,0,0,0,0,0,0,0,0,0,0,0,0,0
644,0,0,0,0,0,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0,0,0,0,0,0
646,0,0,0,0.005090312,0,0,0,0,0,0,0,0,0
647,0,0,0,0.026897029,0,0,0,0,0,0,0,0,0
648,0,0,0,0.12087986,0,0,0,0,0,0,0,0,0
649,0,0,0,0.33742273,0,0,0,0,0,0,0,0,0
650,0,0,0,0.603624689,0,0,0,0,0,0,0,0,0
651,0,0,0,0.810967523,0,0,0,0,0,0,0,0,0
652,0,0,0,0.91573833,0,0,0,0,0,0,0,0,0
653,0,0,0,0.92605288,0,0,0,0,0,0,0,0,0
654,0,0,0,0.92083242,0,0,0,0,0,0,0,0,0
655,0,0,0,0.911237119,0,0,0,0,0,0,0,0,0
656,0,0,0,0.902005739,0,0,0,0,0,0,0,0,0
657,0,0,0,0.897081513,0,0,0,0,0,0,0,0,0
658,0,0,0,0.899066029,0,0,0,0,0,0,0,0,0
659,0,0,0,0.900672338,0,0,0,0,0,0,0,0,0
660,0,0,0,0.902488081,0,0,0,0,0,0,0,0,0
661,0,0,0,0.906886173,0,0,0,0,0,0,0,0,0
662,0,0,0,0.915610562,0,0,0,0,0,0,0,0,0
663,0,0,0,0.927756371,0,0,0,0,0,0,0,0,0
664,0,0,0,0.941055569,0,0,0,0,0,0,0,0,0
665,0,0,0,0.954196504,0,0,0,0,0,0,0,0,0
666,0,0,0,0.966908428,0,0,0,0,0,0,0,0,0
667,0,0,0,0.981390028,0,0,0,0,0,0,0,0,0
668,0,0,0,0.991619278,0,0,0,0,0,0,0,0,0
669,0,0,0,1,0,0,0,0,0,0,0,0,0
670,0,0,0,0.999754078,0,0,0,0,0,0,0,0,0
671,0,0,0,0.994046577,0,0,0,0,0,0,0,0,0
672,0,0,0,0.981792818,0,0,0,0,0,0,0,0,0
673,0,0,0,0.968692612,0,0,0,0,0,0,0,0,0
674,0,0,0,0.957607907,0,0,0,0,0,0,0,0,0
675,0,0,0,0.945644641,0,0,0,0,0,0,0,0,0
676,0,0,0,0.92580977,0,0,0,0,0,0,0,0,0
677,0,0,0,0.897152993,0,0,0,0,0,0,0,0,0
678,0,0,0,0.838534201,0,0,0,0,0,0,0,0,0
679,0,0,0,0.698446797,0,0,0,0,0,0,0,0,0
680,0,0,0,0.493502787,0,0,0,0,0,0,0,0,0
681,0,0,0,0.276900547,0,0,0,0,0,0,0,0,0
682,0,0,0,0.107781358,0,0,0,0,0,0,0,0,0
683,0,0,0,0.029913795,0,0,0,0,0,0,0,0,0
684,0,0,0,0.007336673,0,0,0,0,0,0,0,0,0
685,0,0,0,0.000838123,0,0,0,0,0,0,0,0,0
686,0,0,0,0,0,0,0,0,0,0,0,0,0
687,0,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,0,0,0
689,0,0,0,0,0,0,0,0,0,0,0,0,0
690,0,0,0,0,0,0,0,0,0,0,0,0,0
691,0,0,0,0,0,0,0,0,0,0,0,0,0
692,0,0,0,0,0,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0
694,0,0,0,0,0.010471827,0,0,0,0,0,0,0,0
695,0,0,0,0,0.057252544,0,0,0,0,0,0,0,0
696,0,0,0,0,0.214724996,0,0,0,0,0,0,0,0
697,0,0,0,0,0.547189415,0,0,0,0,0,0,0,0
698,0,0,0,0,0.871043978,0,0,0,0,0,0,0,0
699,0,0,0,0,0.968446586,0,0,0,0,0,0,0,0
700,0,0,0,0,0.99124182,0,0,0,0,0,0,0,0
701,0,0,0,0,1,0,0,0,0,0,0,0,0
702,0,0,0,0,0.99509331,0,0,0,0,0,0,0,0
703,0,0,0,0,0.987602081,0,0,0,0,0,0,0,0
704,0,0,0,0,0.979408704,0,0,0,0,0,0,0,0
705,0,0,0,0,0.970910946,0,0,0,0,0,0,0,0
706,0,0,0,0,0.959528083,0,0,0,0,0,0,0,0
707,0,0,0,0,0.94236861,0,0,0,0,0,0,0,0
708,0,0,0,0,0.926720132,0,0,0,0,0,0,0,0
709,0,0,0,0,0.894557475,0,0,0,0,0,0,0,0
710,0,0,0,0,0.767248071,0,0,0,0,0,0,0,0
711,0,0,0,0,0.504134435,0,0,0,0,0,0,0,0
712,0,0,0,0,0.180610636,0,0,0,0,0,0,0,0
713,0,0,0,0,0.034019737,0,0,0,0,0,0,0,0
714,0,0,0,0,0.002436944,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0,0,0,0,0,0,0
716,0,0,0,0,0,0,0,0,0,0,0,0,0
717,0,0,0,0,0,0,0,0,0,0,0,0,0
718,0,0,0,0,0,0,0,0,0,0,0,0,0
719,0,0,0,0,0,0,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0,0,0,0,0,0,0
722,0,0,0,0,0,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0,0,0,0,0,0
724,0,0,0,0,0,0,0,0,0,0,0,0,0
725,0,0,0,0,0,0,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0,0,0,0,0,0,0
727,0,0,0,0,0,0,0,0,0,0,0,0,0
728,0,0,0,0,0,0,0,0,0,0,0,0,0
729,0,0,0,0,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0.017433807,0,0,0,0,0,0,0
731,0,0,0,0,0,0.105812957,0,0,0,0,0,0,0
732,0,0,0,0,0,0.386050533,0,0,0,0,0,0,0
733,0,0,0,0,0,0.782313159,0,0,0,0,0,0,0
734,0,0,0,0,0,0.905953099,0,0,0,0,0,0,0
735,0,0,0,0,0,0.916416606,0,0,0,0,0,0,0
736,0,0,0,0,0,0.92333441,0,0,0,0,0,0,0
737,0,0,0,0,0,0.932013378,0,0,0,0,0,0,0
738,0,0,0,0,0,0.947550036,0,0,0,0,0,0,0
739,0,0,0,0,0,0.965839591,0,0,0,0,0,0,0
740,0,0,0,0,0,0.978552758,0,0,0,0,0,0,0
741,0,0,0,0,0,0.991319723,0,0,0,0,0,0,0
742,0,0,0,0,0,1,0,0,0,0,0,0,0
743,0,0,0,0,0,0.999955845,0,0,0,0,0,0,0
744,0,0,0,0,0,0.971267313,0,0,0,0,0,0,0
745,0,0,0,0,0,0.81917496,0,0,0,0,0,0,0
746,0,0,0,0,0,0.467395748,0,0,0,0,0,0,0
747,0,0,0,0,0,0.094120897,0,0,0,0,0,0,0
748,0,0,0,0,0,0.009834009,0,0,0,0,0,0,0
749,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0,0,0,0,0,0,0
751,0,0,0,0,0,0,0,0,0,0,0,0,0
752,0,0,0,0,0,0,0,0,0,0,0,0,0
