WL(nm),spot7 blue,spot7 green,spot7 red,spot7 nir,spot7 pan
445,0.01447662,0,0.00124234,0.00063169,0.0911006
446,0.02953112,0,0.0011707,0.00059752,0.13571757
447,0.05690027,0,0.00120785,0.00062393,0.19166269
448,0.09728926,0,0.00121071,0.00071157,0.27269993
449,0.14811147,0,0.00135592,0.00079856,0.34275177
450,0.20580885,0,0.00120426,0.00095001,0.41614229
451,0.27104473,0,0.00126152,0.00109273,0.48727647
452,0.34399687,0,0.0013191,0.00120232,0.55149414
453,0.42630302,0,0.00123979,0.00146958,0.60180523
454,0.51065101,0,0.00136044,0.00172166,0.63503296
455,0.58826296,0,0.0014675,0.00189646,0.65546414
456,0.64993343,0,0.00128096,0.00200734,0.66932467
457,0.69546966,0,0.00113031,0.00207508,0.67972681
458,0.72809965,0,0.00091841,0.00211092,0.68715791
459,0.75314074,0,0.00083192,0.00217072,0.69314327
460,0.77319655,0,0.00081854,0.00221925,0.70010348
461,0.78714002,0,0.00085842,0.00208425,0.70978874
462,0.79692845,0,0.0010804,0.00188658,0.72376579
463,0.80329765,0,0.00117691,0.00175979,0.73874947
464,0.80957361,0,0.00129981,0.00156254,0.75141435
465,0.8133613,0,0.00133392,0.00134592,0.76150497
466,0.82042998,0,0.00130565,0.00121196,0.76894378
467,0.82530398,0,0.00122096,0.00103306,0.77474793
468,0.83269388,0.00000002,0.00124019,0.00090363,0.77741204
469,0.84243218,0.00001679,0.00125787,0.00089853,0.77743788
470,0.85396655,0.00001531,0.00117242,0.00084148,0.77596735
471,0.86594736,0.00000537,0.00106074,0.00070121,0.77558648
472,0.87508896,0.00002681,0.00090701,0.00056117,0.77842355
473,0.88458667,0.00002589,0.00074216,0.00045687,0.78383207
474,0.8889661,0.00001874,0.00079251,0.00034765,0.79028497
475,0.89337318,0.00002032,0.00079747,0.00032889,0.79704085
476,0.89563201,0.00000982,0.00075177,0.00036222,0.80502917
477,0.89907169,0.00000004,0.00095356,0.00033537,0.81582861
478,0.90241847,0,0.00087052,0.00031979,0.82937044
479,0.90689997,0,0.00083181,0.00026519,0.84397414
480,0.91035759,0,0.00102892,0.00021365,0.85567755
481,0.91040734,0,0.00099844,0.00016689,0.86347982
482,0.91176513,0,0.0008999,0.00015237,0.86758133
483,0.91489354,0,0.00093245,0.00012704,0.87073409
484,0.92124532,0,0.00078084,0.0001271,0.87478476
485,0.92898165,0,0.0008036,0.00014511,0.87944719
486,0.93680185,0,0.00078705,0.00012304,0.88307259
487,0.94193632,0,0.00070247,0.00011081,0.88485272
488,0.94533433,0.00000002,0.00072,0.00013035,0.88497881
489,0.94918965,0.00002205,0.00063729,0.00012185,0.88538505
490,0.95340863,0.00001674,0.00062894,0.00014237,0.88667564
491,0.95678448,0.00000603,0.00064334,0.0001586,0.88902625
492,0.9591247,0.00003447,0.00071107,0.00015925,0.89105934
493,0.95995791,0.00002805,0.0006716,0.00015982,0.89153459
494,0.95685029,0.00002171,0.00074753,0.00016038,0.8908057
495,0.95249984,0.00002202,0.00071829,0.00016092,0.8907838
496,0.94563078,0.000034,0.0006321,0.00016145,0.89183614
497,0.94028472,0.00001711,0.0007425,0.00016196,0.89569075
498,0.93851981,0.00000642,0.00081346,0.00016246,0.90078569
499,0.94330209,0.00003509,0.00079749,0.00016295,0.90617608
500,0.94976853,0.00002909,0.00088751,0.00016342,0.91103283
501,0.9552386,0.00002222,0.00087338,0.00016388,0.91503879
502,0.95922703,0.00002248,0.00081764,0.00016435,0.91939771
503,0.9604911,0.00000947,0.00086691,0.00019305,0.92465068
504,0.96081157,0.00002619,0.00083939,0.00022128,0.93082805
505,0.9647737,0.00003418,0.00082277,0.00025788,0.93658882
506,0.97067972,0.00003206,0.0008724,0.00031177,0.94138519
507,0.97444904,0.00005372,0.00079608,0.00032111,0.94423728
508,0.97636096,0.00006912,0.00085943,0.00029599,0.94493367
509,0.97808204,0.00007919,0.00087042,0.00031657,0.94512339
510,0.97923928,0.0001213,0.00079538,0.00030968,0.94597177
511,0.98163913,0.0001692,0.00088692,0.00029703,0.94701338
512,0.98972522,0.00017328,0.00093608,0.00027422,0.94948535
513,0.99426025,0.00024976,0.00093343,0.00023269,0.95137281
514,0.99813401,0.00029862,0.00100651,0.00015327,0.9525347
515,1,0.00035738,0.00091812,0.00014363,0.95137603
516,0.9966516,0.00047346,0.00092464,0.00024427,0.95163461
517,0.97814372,0.00058957,0.0008925,0.00032591,0.95243148
518,0.94230892,0.00079579,0.00093033,0.00047214,0.95343074
519,0.88822225,0.00121076,0.00085235,0.00064088,0.95365364
520,0.819755,0.00185223,0.00091831,0.00072375,0.95192729
521,0.74696785,0.00279942,0.00082436,0.00085295,0.94845538
522,0.67535025,0.00415056,0.00082573,0.00090714,0.94302469
523,0.59867319,0.00609234,0.00075602,0.00102528,0.93755678
524,0.51079501,0.00926237,0.00079212,0.00105552,0.93190048
525,0.41360446,0.01539121,0.00078491,0.00103709,0.92725988
526,0.31556948,0.02825864,0.00082717,0.00091532,0.92370664
527,0.2274835,0.05370623,0.0008734,0.00071004,0.92103612
528,0.158444,0.09575252,0.00082534,0.00051015,0.9200415
529,0.11060106,0.15339899,0.00079907,0.00034447,0.92029017
530,0.07613362,0.22195739,0.00080404,0.00029363,0.92302513
531,0.05232604,0.29657464,0.00082887,0.00032799,0.92814979
532,0.03403907,0.37685533,0.00090465,0.00041411,0.9349373
533,0.02098513,0.46268179,0.00093628,0.00053224,0.94269403
534,0.0122459,0.55150921,0.00099541,0.00068742,0.9498508
535,0.00747242,0.6371005,0.0010711,0.00078721,0.955088
536,0.00527707,0.70829331,0.0009369,0.00090095,0.95584987
537,0.00402354,0.76158127,0.0010092,0.00100511,0.95506138
538,0.0034074,0.79657486,0.0011313,0.00108359,0.95220206
539,0.00300353,0.81674601,0.00108297,0.00110972,0.9487143
540,0.00287396,0.82636019,0.00108369,0.00105697,0.94569878
541,0.00234204,0.8244255,0.00095879,0.0010166,0.94463046
542,0.00263734,0.81791332,0.00092911,0.00087691,0.9465637
543,0.00161028,0.81048107,0.00091088,0.0007607,0.95028403
544,0.00152064,0.80916627,0.00089151,0.00065137,0.95539097
545,0.00073813,0.81932131,0.00084967,0.00064258,0.96136288
546,0.0004356,0.83632862,0.00074463,0.00059904,0.96767795
547,0.00050678,0.85766367,0.00071636,0.00070096,0.97387703
548,0.00017102,0.87801048,0.00076715,0.00077664,0.97884207
549,0.00017593,0.89433892,0.00078709,0.00090544,0.98357603
550,0.00016867,0.9098499,0.0007538,0.00103921,0.98663933
551,0.00016107,0.92030493,0.00067575,0.00115342,0.9878638
552,0.00019702,0.92965072,0.00078508,0.00125365,0.98759331
553,0.00021864,0.93661483,0.00072256,0.00130884,0.98599861
554,0.00017437,0.94083713,0.00071598,0.00134795,0.9838377
555,0.0002138,0.94729049,0.00080547,0.00133051,0.98106668
556,0.00023633,0.94995041,0.0008656,0.0012313,0.97954192
557,0.000239,0.95304594,0.00092829,0.00109191,0.97826199
558,0.0002511,0.95372879,0.00101451,0.00094053,0.97855304
559,0.00028729,0.95263847,0.00100424,0.00079094,0.97899364
560,0.00030343,0.95431956,0.00114585,0.00060227,0.98062583
561,0.00032176,0.95449527,0.00115265,0.00049399,0.98165346
562,0.00031131,0.95683451,0.00128782,0.00038739,0.98344075
563,0.00030735,0.96071465,0.0012567,0.0003268,0.98467653
564,0.00028673,0.96263978,0.00129456,0.0002397,0.98606319
565,0.00028181,0.96650969,0.00114304,0.00022438,0.98732302
566,0.00028066,0.96879464,0.0010323,0.00021562,0.98871904
567,0.0002845,0.97184353,0.00103108,0.00020493,0.98945429
568,0.0002766,0.9761936,0.00094789,0.00020566,0.99005202
569,0.00028164,0.97988708,0.00094204,0.0002316,0.99002145
570,0.00028162,0.98531732,0.00082558,0.00020496,0.99009896
571,0.0002924,0.98961534,0.00082466,0.00023999,0.99036655
572,0.00029281,0.99333666,0.00077733,0.00025712,0.99090413
573,0.00029591,0.996511,0.00071503,0.00028973,0.99260793
574,0.00029474,0.99712128,0.00082079,0.00026322,0.99395204
575,0.0002905,0.99847971,0.00081439,0.00028184,0.99631018
576,0.00030628,0.99791192,0.00078699,0.00027063,0.99767407
577,0.00031133,0.99771182,0.00082487,0.00027374,0.99946007
578,0.00031975,0.99799814,0.00078467,0.00025644,1
579,0.00034582,0.99762729,0.00074525,0.00028267,0.99926995
580,0.00032097,0.99936452,0.00084533,0.00026669,0.99705294
581,0.00032592,0.99883163,0.00088871,0.00025187,0.99382238
582,0.00032558,1,0.00089059,0.00022059,0.98980474
583,0.00030659,0.99839042,0.00096942,0.00020884,0.98553379
584,0.00033887,0.98861031,0.00119903,0.00021337,0.98168803
585,0.00032277,0.97613872,0.00141901,0.00023279,0.97926526
586,0.00030804,0.94891365,0.00185646,0.00026235,0.97703675
587,0.00033714,0.92219152,0.00229111,0.00031733,0.97654232
588,0.00034445,0.8920485,0.00260563,0.00033279,0.9770229
589,0.00036796,0.87582592,0.0026794,0.00038739,0.97852403
590,0.00034384,0.8631584,0.00286253,0.00047347,0.97908508
591,0.000367,0.83672954,0.00293742,0.00051705,0.98076017
592,0.0003349,0.79709212,0.00309849,0.00064586,0.9816126
593,0.00028657,0.73647325,0.00314108,0.00071968,0.98252149
594,0.0003004,0.67163873,0.00297,0.00086639,0.98217757
595,0.00028213,0.61584592,0.00261649,0.00089815,0.98144898
596,0.00029263,0.56753897,0.00233776,0.00096544,0.97931283
597,0.00028851,0.52913163,0.00195025,0.00093422,0.97681618
598,0.00028807,0.4773172,0.00182193,0.00094704,0.97410468
599,0.00029391,0.41217843,0.00169924,0.00095838,0.97195469
600,0.00028896,0.3339601,0.00186048,0.00096151,0.97029373
601,0.00028773,0.24895618,0.00207296,0.00088856,0.97016033
602,0.00027363,0.17301683,0.002548,0.00079071,0.97072806
603,0.0002736,0.11232462,0.00289844,0.00064356,0.97267877
604,0.00026802,0.07199629,0.00364664,0.00049106,0.9747976
605,0.00025086,0.04703638,0.00449235,0.00036732,0.97766117
606,0.00026599,0.03197512,0.0055589,0.00027129,0.97965487
607,0.00027632,0.02235075,0.00688676,0.0002207,0.98170445
608,0.00026815,0.0160082,0.00868109,0.00020395,0.98212313
609,0.00028931,0.01168641,0.0109391,0.00018004,0.98256989
610,0.00029365,0.00854272,0.01400659,0.00014305,0.98135677
611,0.00025967,0.00616501,0.01811818,0.00017124,0.98065552
612,0.00028402,0.00436648,0.02422176,0.00014166,0.9790086
613,0.00027243,0.0030482,0.03408021,0.00016951,0.97823348
614,0.00028287,0.00208988,0.05140105,0.00013502,0.97692861
615,0.00021156,0.00142272,0.08019487,0.00014971,0.97643775
616,0.00028451,0.00102028,0.11797735,0.00012797,0.97525585
617,0.00020762,0.00075221,0.15930354,0.00014179,0.97453211
618,0.00024673,0.0005933,0.19889743,0.00011028,0.97371323
619,0.00018479,0.00045253,0.23387208,0.00013346,0.97413358
620,0.00023854,0.00035793,0.25233714,0.00016951,0.97424693
621,0.00018683,0.00025569,0.27616227,0.0001683,0.97369245
622,0.00020762,0.00017915,0.30824984,0.00013296,0.97385768
623,0.00020455,0.00012672,0.33946347,0.00014976,0.97398148
624,0.00028079,0.00014459,0.36472767,0.00012862,0.97354513
625,0.0002674,0.00006937,0.3761751,0.00014103,0.97337479
626,0.00028837,0.00006263,0.37695406,0.00013777,0.97288466
627,0.00025461,0.00001842,0.37298198,0.00013317,0.97221762
628,0.00029652,0.00003778,0.3675211,0.0001401,0.97105918
629,0.00026883,0.00003867,0.37056511,0.00016765,0.96910318
630,0.00028536,0.00004633,0.38552236,0.00016581,0.96765482
631,0.00026427,0.00002373,0.4099297,0.00013191,0.96599376
632,0.00030256,0.00003372,0.44311139,0.0001471,0.96419934
633,0.00027681,0.0000594,0.48310107,0.00012826,0.96264905
634,0.00031147,0.00004662,0.52816756,0.00013963,0.96168816
635,0.00032616,0.00005071,0.57672374,0.00013673,0.96157404
636,0.00029204,0.00004151,0.62431308,0.00015991,0.96124377
637,0.00030567,0.00004367,0.66902694,0.00016665,0.96167949
638,0.00024215,0.00001813,0.71076575,0.00013895,0.9616322
639,0.0002816,0.00002083,0.7496568,0.00013828,0.96224565
640,0.00019366,0.00000002,0.79026255,0.00016547,0.96197556
641,0.00023691,0.00001666,0.83254438,0.00016218,0.96181061
642,0.00023473,0.00001695,0.87599166,0.00013046,0.96168462
643,0.00021464,0.00000035,0.91660092,0.00014379,0.96104464
644,0.00013807,0.00001937,0.94808125,0.00012789,0.96014089
645,0.0002148,0.00002123,0.9694272,0.0001377,0.95872948
646,0.00024989,0.00003012,0.97967082,0.00013521,0.95687606
647,0.00019846,0.00003883,0.98184197,0.00015821,0.95449359
648,0.00029472,0.00003329,0.98100329,0.00016423,0.95121413
649,0.00025625,0.00001745,0.97998941,0.00016403,0.94804906
650,0.00032466,0.00002174,0.98368209,0.00016379,0.94410549
651,0.0003242,0.00002079,0.98816194,0.00016355,0.94031714
652,0.00032372,0.00003022,0.99445436,0.00016331,0.93673577
653,0.00028729,0.00002151,0.99843569,0.00016307,0.93358899
654,0.00035869,0.00003296,1,0.00016282,0.93124538
655,0.00028415,0.00001757,0.99952848,0.00016257,0.93021497
656,0.00080262,0.00002011,0.99612332,0.00016232,0.92962385
657,0.00061411,0.00001629,0.99379204,0.00016207,0.93090461
658,0.00046422,0,0.99018732,0.00016181,0.93217996
659,0.00120405,0.00001656,0.98726771,0.00016156,0.93379973
660,0.00073784,0.00000032,0.98514882,0.0001613,0.9356949
661,0.00077693,0.00002077,0.98290952,0.00016103,0.93694228
662,0.00127793,0.00002055,0.97959089,0.00016077,0.93831577
663,0.00136578,0.00003076,0.97595207,0.0001605,0.93887787
664,0.00065893,0.00002098,0.96876345,0.00016023,0.93827693
665,0.00104726,0.00004791,0.96120501,0.00015996,0.93785706
666,0.00030027,0.0000173,0.95093055,0.00015968,0.93597665
667,0.00059159,0.00001943,0.9397491,0.00013311,0.93425433
668,0.00019363,0.00001615,0.92846169,0.00015913,0.93187582
669,0.00053505,0.00002157,0.91638331,0.00013204,0.9296457
670,0.00027456,0.00001997,0.90747019,0.00015804,0.92766395
671,0.00071589,0.00003096,0.89933074,0.00014911,0.92552803
672,0.00045449,0.00002459,0.89569638,0.00012568,0.92444368
673,0.00256558,0.0000284,0.89455442,0.00013317,0.92259714
674,0.00354399,0.00004359,0.89774159,0.00012415,0.92139624
675,0.00135784,0.00003859,0.90349354,0.00013299,0.91982668
676,0.00489533,0.00003063,0.91140201,0.00012889,0.91826456
677,0.00308837,0.00003266,0.91979005,0.00015184,0.91662076
678,0.00615829,0.00000311,0.92807012,0.00015617,0.91429161
679,0.00370785,0.0000227,0.93404425,0.00015589,0.91213735
680,0.00361242,0.00001792,0.9382064,0.00015558,0.90926503
681,0.00600397,0.00003137,0.93879758,0.00015527,0.90582864
682,0.00254033,0.00003383,0.93669083,0.00015495,0.90165183
683,0.00433537,0.00004303,0.93299579,0.00015463,0.89674441
684,0.00084494,0.00004062,0.92702904,0.00015432,0.8908166
685,0.00024876,0.00002964,0.92185627,0.00015399,0.88498309
686,0.00103497,0.00001661,0.91600881,0.00015367,0.87800954
687,0.00013772,0.00000283,0.91179821,0.00015334,0.87186806
688,0.00198826,0.00002367,0.90899955,0.00015301,0.86529611
689,0.00060136,0.00001605,0.90583375,0.00015268,0.86013568
690,0.0031379,0.000031,0.904417,0.00015235,0.85608631
691,0.00170317,0.00001821,0.90131259,0.00015201,0.85288566
692,0.00216504,0.00002864,0.89791849,0.00015167,0.85246016
693,0.00458429,0.00001622,0.89257149,0.00015133,0.85242557
694,0.0026336,0.00001781,0.87615824,0.00015098,0.85605593
695,0.00407047,0.00000001,0.86244899,0.00015064,0.85826326
696,0.00422744,0,0.84161216,0.00015029,0.86080111
697,0.00170072,0,0.81211915,0.00014993,0.86374359
698,0.00303175,0,0.77238081,0.00014958,0.8658634
699,0.00064417,0,0.72317099,0.00014922,0.86824859
700,0.00137447,0,0.66716181,0.00014886,0.86916895
701,0.00038381,0,0.60584853,0.0001485,0.86946383
702,0.00045999,0,0.54334512,0.00014814,0.86867269
703,0.00032491,0,0.48084036,0.00014777,0.86754749
704,0.00039921,0,0.41927358,0.0001474,0.86553071
705,0.00040132,0,0.3597848,0.00014703,0.86312785
706,0.00025125,0,0.30217061,0.00014665,0.86074556
707,0.00057179,0,0.24943129,0.00017035,0.8582133
708,0.00033986,0,0.20188656,0.00019453,0.85624784
709,0.00051965,0,0.16165934,0.00017012,0.85407499
710,0.00025684,0,0.12899992,0.00016945,0.85207833
711,0.00023598,0,0.1039353,0.00021118,0.85034403
712,0.0005449,0,0.08585674,0.00019807,0.84814942
713,0.00021714,0,0.07281979,0.0001939,0.84557337
714,0.00041396,0,0.06394612,0.00023787,0.84325377
715,0.00019228,0,0.05768966,0.00023853,0.84032076
716,0.00030649,0,0.05322316,0.00023953,0.8378317
717,0.00031679,0,0.04856149,0.0002572,0.83610624
718,0.00014346,0,0.04505895,0.00028678,0.83377603
719,0.00030337,0.00001415,0.0417873,0.0002823,0.83112969
720,0.00028782,0,0.03900247,0.00032621,0.82804887
721,0.00007799,0,0.03610973,0.00032636,0.82427059
722,0.00023033,0.00001443,0.0333718,0.00036062,0.81865955
723,0.00009438,0.00001429,0.03028516,0.00037799,0.811827
724,0.00016644,0.00004157,0.02689081,0.00042136,0.802827
725,0.00019571,0.00000685,0.02317183,0.00045607,0.79162583
726,0.00006313,0.00002816,0.01930199,0.00047864,0.77851512
727,0.00019914,0.00001386,0.01547549,0.00052951,0.7628567
728,0.00011534,0.00003747,0.01212265,0.0006011,0.74564722
729,0.00012322,0.00002963,0.00917398,0.00063663,0.72682853
730,0.00021852,0.00002816,0.00698076,0.00074111,0.70739427
731,0.000126,0.00003139,0.00543625,0.00082431,0.68848512
732,0.00019259,0.00001359,0.00432069,0.0009451,0.67094136
733,0.00010667,0.00003235,0.00362507,0.00112384,0.65688297
734,0.00017016,0.0000139,0.00309459,0.00129427,0.64596361
735,0.0001934,0.00001516,0.00278344,0.00153113,0.63858656
736,0.00008465,0,0.00262031,0.00181628,0.63211256
737,0.00015673,0,0.00252691,0.00219134,0.62418293
738,0.00012408,0,0.00251558,0.00261594,0.61326973
739,0.00008273,0,0.00268932,0.00314642,0.59798619
740,0.00018391,0,0.00259203,0.0038539,0.57943406
741,0.00013017,0,0.00281983,0.00468252,0.55824706
742,0.00007821,0,0.00279375,0.00580942,0.53375771
743,0.00021743,0,0.0027401,0.00716854,0.50587614
744,0.00007534,0,0.00281922,0.00896597,0.4715295
745,0.00020512,0,0.00271866,0.01126575,0.43111713
746,0.00007646,0,0.00272741,0.01416582,0.38357372
747,0.00019229,0,0.00283596,0.01790015,0.3316832
748,0.00011909,0,0.0026024,0.02248159,0.27776519
749,0.0000754,0.00001279,0.00259871,0.02826847,0.22607945
750,0.00023256,0.00002549,0.00236629,0.03526581,0.18031454
751,0.0000972,0.00007617,0.00215344,0.04381409,0.14215664
752,0.00006142,0.00013954,0.00203545,0.05431924,0.11222774
753,0.00022131,0.00012749,0.00169909,0.06697893,0.08915606
754,0.00008042,0.00018348,0.00155291,0.08289855,0.07112997
755,0.00017993,0.00008734,0.00146845,0.10264828,0.05721899
756,0.00008865,0.0002562,0.00143385,0.12774018,0.04593983
757,0.00006336,0.00019035,0.00159451,0.15958037,0.03685762
758,0.00039656,0.00038642,0.00166322,0.19960497,0.029384
759,0.00034745,0.00041034,0.00189506,0.26652486,0.02279598
760,0.00026048,0.00041048,0.00194262,0.32762215,0.01763402
761,0.00024841,0.00030736,0.00189792,0.39401177,0.0134604
762,0.00056482,0.00041401,0.00182508,0.46179322,0.01026696
763,0.0002645,0.00025172,0.00162942,0.52797453,0.00780121
764,0.00055737,0.0002949,0.00172342,0.59140979,0.00584474
765,0.00026618,0.00012009,0.00185866,0.65223451,0.0044454
766,0.00018138,0.00017823,0.00180942,0.711729,0.00350111
767,0.00044651,0.00011732,0.00182569,0.76972719,0.00281042
768,0.00015104,0.00016213,0.00176071,0.8253825,0.00235901
769,0.00027631,0.00014965,0.00158311,0.87414608,0.00199189
770,0.00012225,0.00016065,0.00132175,0.91492596,0.00165848
771,0.00022143,0.00015025,0.00107831,0.94490612,0.00143349
772,0.00015386,0.00007334,0.00099797,0.96201409,0.00135001
773,0.00022003,0.0002112,0.0007703,0.96691713,0.00121131
774,0.0000933,0.00025444,0.00085176,0.96576887,0.00113444
775,0.0000698,0.00017115,0.00083644,0.9592926,0.00107425
776,0.00026101,0.00030346,0.00078627,0.95238059,0.00099554
777,0.00008893,0.00019437,0.00083518,0.94855395,0.00097719
778,0.00007898,0.00028525,0.00077259,0.94588934,0.00088933
779,0.00025604,0.00017277,0.00079155,0.94708203,0.00088379
780,0.00007103,0.00021442,0.00084635,0.94999029,0.00087327
781,0.00021122,0.00017231,0.00077927,0.95380963,0.00086896
782,0.00024472,0.00002669,0.00082294,0.95873238,0.0007596
783,0.00005655,0.00007008,0.00074516,0.96416407,0.00081897
784,0.00019538,0,0.00075297,0.96888436,0.00077417
785,0.00006953,0.00001094,0.00080093,0.97410697,0.00080097
786,0.00012307,0,0.00108557,0.97372389,0.00096937
787,0.00004978,0.00002166,0.00076192,0.97915268,0.00103988
788,0.00013198,0,0.00114644,0.9804698,0.00094979
789,0.0000557,0.00005407,0.0009655,0.98707308,0.00115782
790,0.00004761,0.00002708,0.00067892,0.99449721,0.00070633
791,0.0001332,0.00005261,0.0010806,0.99675613,0.00080272
792,0.00004288,0.00003418,0.00101079,0.99777968,0.00100757
793,0.00012647,0.00007189,0.00103308,1,0.00092602
794,0.00013597,0.00007279,0.00133484,0.99611599,0.00118307
795,0.00004662,0.00014235,0.00113721,0.99417559,0.0010558
796,0.00012005,0.00011879,0.0011595,0.98888215,0.00124654
797,0.00003996,0.00014629,0.001718,0.98081782,0.00110239
798,0.0000737,0.00012706,0.00126176,0.97652376,0.00107628
799,0.00008494,0.00018221,0.00153784,0.97279902,0.00105593
800,0.00002288,0.00020526,0.00136772,0.9668772,0.00067477
801,0.00010039,0.00016565,0.0013616,0.96269085,0.0008648
802,0.00005483,0.00024077,0.00148223,0.95766879,0.0007012
803,0.00010267,0.00019944,0.00170581,0.95162544,0.0009585
804,0.00004789,0.00023194,0.00162816,0.9479391,0.00086154
805,0.00015254,0.00019965,0.00157424,0.94108077,0.00090679
806,0.00009885,0.00029644,0.00162296,0.93710505,0.00085875
807,0.00018915,0.00027196,0.00137938,0.93140391,0.00077506
808,0.00014606,0.00028056,0.00167857,0.92668389,0.00106766
809,0.00013642,0.0002563,0.00102218,0.9221005,0.00046791
810,0.0001382,0.00026737,0.00138096,0.91706508,0.0008082
811,0.00016926,0.00022959,0.00109446,0.91382386,0.00078873
812,0.00020287,0.00026792,0.00117402,0.90854515,0.0007851
813,0.00018629,0.00020592,0.00123028,0.90569711,0.00092145
814,0.0001991,0.00022507,0.00083036,0.90077396,0.00055897
815,0.0001743,0.00020856,0.0011087,0.89699532,0.00075818
816,0.00019764,0.00012584,0.00071059,0.89305609,0.00080562
817,0.00020929,0.00014396,0.00101856,0.88885693,0.00096656
818,0.0001026,0.00011194,0.00067775,0.88451505,0.00065449
819,0.00017418,0.0000962,0.00085786,0.87983533,0.00071438
820,0.00009906,0.00010186,0.00086728,0.87494685,0.00082821
821,0.00015142,0.00007127,0.00076823,0.86912966,0.0008288
822,0.00011296,0.00007918,0.00089777,0.86359522,0.00080572
823,0.00012969,0.00010778,0.00076653,0.85698833,0.00082671
824,0.00010747,0.00006695,0.00061706,0.85114674,0.00057111
825,0.00011705,0.00005742,0.00072098,0.84290302,0.00088914
826,0.00006626,0.00010825,0.00077039,0.83763434,0.00064938
827,0.00007128,0.00008102,0.00054004,0.82763772,0.00106663
828,0.00015531,0.00005953,0.00091105,0.82175264,0.00102657
829,0.00005094,0.00007051,0.00044417,0.81317577,0.00073679
830,0.00005536,0.00006887,0.00053565,0.80504629,0.00122988
831,0.00008208,0.000024,0.00066523,0.79813469,0.00055973
832,0.00007768,0.0000521,0.00044967,0.78954153,0.00108976
833,0.00012385,0.00003698,0.0007706,0.78317333,0.00051957
834,0.00012131,0.00006802,0.0005656,0.77624524,0.00097246
835,0.00008272,0.0000407,0.00046695,0.76996964,0.00071363
836,0.00010584,0.00004976,0.00069226,0.76473308,0.00105786
837,0.00009546,0.00003661,0.0003567,0.75916482,0.00065165
838,0.00010459,0.00004975,0.0006858,0.75550984,0.00106885
839,0.00009862,0.00004316,0.00037431,0.75062099,0.00065743
840,0.00010201,0.00004663,0.00065908,0.74822841,0.00102754
841,0.00007893,0.00002979,0.00042277,0.74400314,0.0007227
842,0.00013077,0.00007784,0.00055615,0.74191016,0.0006538
843,0.00015499,0.00003674,0.00055248,0.73842347,0.00077015
844,0.00017812,0.000058,0.00057215,0.73563921,0.00057252
845,0.0001392,0.00005243,0.00049956,0.73119331,0.00068299
846,0.00019324,0.00007722,0.00051441,0.72927788,0.0004286
