WL(nm),B0,B2,B3,MIR
1607.5,,,,0.59395
1610,,,,0.6571
1612.5,,,,0.70995
1615,,,,0.7628
1617.5,,,,0.81565
1620,,,,0.8685
1622.5,,,,0.893425
1625,,,,0.91835
1627.5,,,,0.943275
1630,,,,0.9682
1632.5,,,,0.97615
1635,,,,0.9841
1637.5,,,,0.99205
1640,,,,1
1642.5,,,,0.997075
1645,,,,0.99415
1647.5,,,,0.991225
1650,,,,0.9883
1652.5,,,,0.983975
1655,,,,0.97965
1657.5,,,,0.975325
1660,,,,0.971
1662.5,,,,0.951725
1665,,,,0.93245
1667.5,,,,0.913175
1670,,,,0.8939
1672.5,,,,0.871325
1675,,,,0.84875
1677.5,,,,0.826175
1680,,,,0.8036
1682.5,,,,0.7457
1685,,,,0.6878
1687.5,,,,0.6299
1690,,,,0.572
1692.5,,,,0.5109
1695,,,,0.4498
1697.5,,,,0.3887
1700,,,,0.3276
1702.5,,,,0.2926
1705,,,,0.2576
1707.5,,,,0.2226
1710,,,,0.1876
1712.5,,,,0.17035
1715,,,,0.1531
1717.5,,,,0.13585
1720,,,,0.1186
1722.5,,,,0.107825
1725,,,,0.09705
1727.5,,,,0.086275
1730,,,,0.0755
1732.5,,,,0.068475
1735,,,,0.06145
1737.5,,,,0.054425
1740,,,,0.0474
1742.5,,,,0.04295
1745,,,,0.0385
1747.5,,,,0.03405
1750,,,,0.0296
1752.5,,,,0.026875
1755,,,,0.02415
1757.5,,,,0.021425
1760,,,,0.0187
1762.5,,,,0.0172
1765,,,,0.0157
1767.5,,,,0.0142
1770,,,,0.0127
1772.5,,,,0.011825
1775,,,,0.01095
1777.5,,,,0.010075
1780,,,,0.0092
1782.5,,,,0.008625
1785,,,,0.00805
1787.5,,,,0.007475
1790,,,,0.0069
1792.5,,,,0.006425
1795,,,,0.00595
1797.5,,,,0.005475
1800,,,,0.005
