WL(nm),Ikonos Green,Ikonos Red,Ikonos NIR
640,0.0139713335933731,0.0165699182519407,0.804511620037041
645,0.00734963288313146,0.0144842899420416,0.878359966960694
650,0.00595189047897797,0.0148361917599562,0.919590412416524
655,0.0051498614391902,0.0162215872056778,0.953235248154893
660,0.00787617192974844,0.0186418343046733,0.955855611892047
665,0.0123327480399693,0.0198730405200048,0.928851827493593
670,0.0199608814754614,0.0187942565298189,0.938893976988353
675,0.0220575896464531,0.0151593623122394,0.986630115893604
680,0.0207864226503045,0.0125197328866146,0.996794476366718
685,0.0190052358873306,0.0118846341490154,0.907921523338887
690,0.0154791889494062,0.0108661128198354,0.769752686265487
695,0.00973488727602794,0.0135457422455407,0.591927289449709
700,0.00680853981109974,0.0165091547825826,0.421517162353531
705,0.00492303906111107,0.018302622403179,0.305314121163159
710,0.00538278193686729,0.0158803563993143,0.226223576382502
715,0.0115219972417414,0.0112000666760793,0.158334080367471
720,0.0222464196031959,0.00634771654911389,0.104578423932179
725,0.0239879639029014,0.00550865866210099,0.0673519718674859
730,0.0120647532006647,0.00339060477335938,0.0447347250069463
735,0.00402165112663544,0.00387925541619885,0.0299325453886353
740,0.00221377654011344,0.00351167469573126,0.023949285783597
745,0.00255463475069987,0.00296830155938291,0.0219762398891384
750,0.00226183589874241,0.0031138306931985,0.0183635601950759
755,0.00346102449477776,0.002270665754164,0.0159028783011089
760,0.00246571375450233,0.00344463145081216,0.0162277842633076
765,0.00232203835402049,0.0035667604742264,0.0156697337059322
770,0.00398540348337242,0.00531775702279604,0.0164941143659261
775,0.00360839064908591,0.00650553124230868,0.0171143506720488
780,0.00270123652169119,0.00715720988622003,0.0162959145477329
785,0.00238169867150646,0.00887633433146082,0.012097337188049
790,0.00263568487264251,0.00953190259593441,0.00906906471930315
795,0.002248333570936,0.00800458902146981,0.00677109901115105
800,0.00159887833634882,0.00703224279902776,0.00621991342930547
805,0.00155878944796455,0.0064393121790105,0.00555503890433422
810,0.00198873370033953,0.00611151969103879,0.00417292251756115
815,0.0019952241859855,0.00561601800646535,0.00422454129530652
820,0.00252388137544693,0.00526147100404169,0.00500436479810448
825,0.00360067071455393,0.00614672505530624,0.00398727104675304
830,0.00562299459685052,0.00738873688499999,0.0039653086518205
835,0.00659672747820813,0.00666540868115219,0.00268297176820184
840,0.0075494872813629,0.0067153986564795,0.00300515418140018
845,0.00796348808897237,0.00942952096252316,0.00254471026221708
850,0.00947080519380834,0.0128079270784111,0.00325678216471308
855,0.00828422814512083,0.0142705925849491,0.00255772988041962
860,0.00877403062677374,0.0159234395624076,0.00262684328036998
865,0.00925830941736031,0.0170870047505634,0.00275824698691558
870,0.0106602030786979,0.0172323665077546,0.00267299195843049
875,0.0125024109716942,0.0162785561307129,0.00284442644897608
880,0.0131112665185823,0.0152422552316713,0.00255093742565117
885,0.0130580521268972,0.0133987317217708,0.0025910294721296
890,0.011862695410742,0.0119669331327691,0.00247425002425206
895,0.0105029051403288,0.0105678563315598,0.00237618667638098
900,0.00947475666607944,0.00997247929999505,0.00233057164933987
905,0.00878991064818506,0.00919200067736993,0.0028914941841893
910,0.0083913291305394,0.00975296084017674,0.00271331529974922
915,0.00822839512710573,0.00889955533560946,0.00309306262500418
920,0.00802137759592643,0.008428370003911,0.00391191532723806
925,0.00835249842419223,0.00779582570898429,0.00400776083507868
930,0.00811195277472749,0.00752252822991126,0.00401402834831668
935,0.00799410604522349,0.00696905846724401,0.00345576275820072
940,0.00801463313377229,0.00586194935423352,0.00264696029006305
945,0.00685291238845284,0.00541327571811863,0.0021892880157612
950,0.00544895721760408,0.00456868050221079,0.00163857763474179
955,0.00479962798887684,0.0039489541491634,0.00142750755758939
960,0.00446762240995468,0.00360321762119342,0.00131312370825127
965,0.00409623018613363,0.00326040584735469,0.00137722646475899
970,0.00360188521080052,0.00294581367640933,0.00110857747741928
975,0.00345981041599816,0.00276033591976044,0.00117414843797477
980,0.00326100577025082,0.00278450434545114,0.00115958885405082
985,0.00275086147904701,0.00223455720147678,0.00100370816082837
990,0.00281487828345262,0.00246875084980374,0.0016226670742079
995,0.00237609190292451,0.00223274615670159,0.000980608698897524
1000,0.00234612973481779,0.00253594496413103,0.00132762401121439
1005,0.00261998479107472,0.00206652529478458,0.00143377602534956
1010,0.00264715965720061,0.00173394806327867,0.00294031043072433
1015,0.00260124491341903,0.00209998720641302,0.00175178875126431
1020,0.0016015197115983,0.00203972770841287,0.00234060303908204
1025,0.00194551413878636,0.00221827803074163,0.00125963198585362
1030,0.00241723910952086,0.001376409224351,0.000897813580840771
1035,0.00129961527196873,0.00160249020313337,0
