WL(nm),pleiades1a blue,Pleiades1a green,Pleiades1a red,pleiades1a nir,Pleiades1a pan
780,0.000095775,0.000042871,0.000495792,0.878251808,0.877262445
782.5,0.000102477,0.000042431,0.000549177,0.931302618,0.873526123
785,0.000157936,0.000047551,0.000584191,0.966166277,0.869488776
787.5,0.000240257,0.000042188,0.00066917,0.985896317,0.866505519
790,0.00035284,0.000023513,0.000697227,0.995878238,0.866130487
792.5,0.000546303,0.000044413,0.000665481,1,0.858890865
795,0.000730144,0.000050816,0.000586953,0.997892762,0.847847915
797.5,0.000797516,0.000045074,0.000469143,0.993054478,0.833178653
800,0.000726083,0.000043295,0.000408904,0.9853491,0.813655974
802.5,0.000525682,0.000060324,0.000361346,0.97352196,0.786660653
805,0.000397849,0.000067859,0.000240581,0.960609456,0.749050418
807.5,0.000315957,0.000115456,0.000261055,0.949441395,0.698228048
810,0.000272569,0.000179965,0.000247766,0.937580999,0.630681239
812.5,0.00026314,0.000358418,0.000213443,0.931325797,0.550709361
815,0.000240166,0.000971392,0.000209911,0.928376066,0.461723708
817.5,0.000230949,0.004170836,0.000191758,0.927529543,0.369620787
820,0.000243035,0.006740399,0.00016433,0.928859794,0.282373284
822.5,0.000276812,0.007941683,0.000180056,0.92990787,0.207468842
825,0.000323548,0.006939115,0.000218156,0.930167874,0.146542603
827.5,0.00038502,0.002976053,0.000200436,0.93094083,0.101018688
830,0.000495342,0.001144332,0.000203126,0.931485024,0.068692708
832.5,0.000613799,0.000710436,0.000234958,0.927801639,0.047107451
835,0.000829293,0.000552995,0.000273693,0.922593506,0.032424889
837.5,0.001190941,0.000502047,0.000265363,0.916150859,0.024677322
840,0.001833309,0.000498287,0.000294617,0.907329884,0.017415798
842.5,0.003112783,0.000540899,0.00046695,0.897477965,0.01267079
845,0.005614884,0.000629062,0.000488487,0.884457631,0.011663903
847.5,0.010469645,0.000804374,0.000664686,0.873591899,0.008670126
850,0.016798482,0.001082416,0.000780353,0.860358926,0.008177933
852.5,0.021363421,0.001688006,0.00105946,0.849404511,0
855,0.021842501,0.003066374,0.001401749,0.836980774,0
857.5,0.017869264,0.005555593,0.001902335,0.825938683,0
860,0.013830675,0.009238342,0.002493411,0.813175329,0
862.5,0.010821556,0.012640384,0.003440195,0.798259387,0
865,0.00904573,0.014577913,0.004221018,0.785217889,0
867.5,0.00805936,0.01426323,0.005365435,0.772000032,0
870,0.007998715,0.011869396,0.006285641,0.757959839,0
872.5,0.008126712,0.00907999,0.006881961,0.743254519,0
875,0.00898155,0.006865423,0.00711888,0.727336858,0
877.5,0.010309043,0.005746677,0.00704463,0.709791654,0
880,0.012742822,0.005256275,0.006592007,0.690639065,0
882.5,0.016388593,0.00542231,0.006791831,0.669408462,0
885,0.0223536,0.006100591,0.006692204,0.646365896,0
887.5,0.031140154,0.006840374,0.006861797,0.622096879,0
890,0.041613133,0.008407814,0.007053296,0.596551022,0
892.5,0.050325245,0.010767854,0.007396045,0.571636027,0
895,0.05366183,0.014062168,0.008125494,0.547229954,0
897.5,0.048936894,0.018573263,0.008744949,0.522482248,0
900,0.039506315,0.023380238,0.009664565,0.499603948,0
902.5,0.029434135,0.027562396,0.010669649,0.477110614,0
905,0.02147756,0.030136568,0.012020954,0.456338545,0
907.5,0.016377987,0.03035815,0.0137314,0.436591373,0
910,0.013022412,0.028962042,0.015992415,0.416400784,0
912.5,0.010925897,0.026906444,0.018101728,0.394955527,0
915,0.009506325,0.025021885,0.020670049,0.368808035,0
917.5,0.008523601,0.023954915,0.02365665,0.335124469,0
920,0.00780271,0.023526308,0.026980777,0.294033825,0
922.5,0.007497939,0.023930553,0.031070517,0.247296668,0
925,0.007333448,0.024847915,0.035338277,0.197778078,0
927.5,0.007419962,0.025996765,0.039899633,0.149839664,0
930,0.007496152,0.027063028,0.043908919,0.10771606,0
932.5,0.007720358,0.027036138,0.0462687,0.074399321,0
935,0.007857153,0.025721203,0.0455221,0.049559606,0
937.5,0.007893869,0.022952338,0.040902805,0.033053813,0
940,0.007777933,0.019056154,0.033339838,0.021750711,0
942.5,0.007298439,0.014959616,0.025135441,0.014651504,0
945,0.006656728,0.011105787,0.017920907,0.010402058,0
947.5,0.005769507,0.008066212,0.012521289,0.007673562,0
950,0.004862135,0.005814142,0.008617424,0.00618222,0
